id;unique_number;submission_date;status;payment_successful
1;rural swing;2025-11-12T03:55:50;WITHDRAWN;false
2;upon;2025-11-11T13:56:56;SHORTLISTED;false
3;drowse black;2025-11-12T03:11:34;SHORTLISTED;true
4;as mockingly;2025-11-12T05:26:18;WITHDRAWN;false
5;scamper gaseous yahoo;2025-11-12T03:23:56;CLOSED;false
6;now cram;2025-11-11T21:37:57;CLOSED;false
7;cinema like devastation;2025-11-11T20:34:27;CLOSED;true
8;quick;2025-11-11T20:28:03;INTERVIEW_DATE_SET;false
9;yearningly;2025-11-11T14:43:32;SUBMITTED;true
10;gah molasses;2025-11-12T11:48:26;INTERVIEW_DATE_SET;true
