id;portal_active;start_date;end_date;sample_form_url
1;true;2025-11-11T18:32:05;2025-11-12T10:07:47;gnaw
2;true;2025-11-12T10:20:16;2025-11-12T03:25:27;yuck which vista
3;false;2025-11-11T20:45:19;2025-11-12T06:28:20;into finally
4;true;2025-11-11T23:53:34;2025-11-12T03:53:19;and far-flung since
5;true;2025-11-12T13:16:45;2025-11-12T10:29:23;fooey as wherever
6;true;2025-11-11T15:44:03;2025-11-12T11:02:07;verify overvalue wicked
7;false;2025-11-12T00:22:02;2025-11-11T20:46:20;whether fortunately
8;true;2025-11-11T14:39:25;2025-11-11T17:18:52;phew
9;true;2025-11-12T01:11:12;2025-11-12T10:43:23;before
10;true;2025-11-11T14:21:08;2025-11-11T19:29:43;rust slushy via
