id;title;message;is_read;generated_by
1;which feather treasure;../fake-data/blob/hipster.txt;false;SYSTEM
2;besides ample;../fake-data/blob/hipster.txt;true;SYSTEM
3;pushy times um;../fake-data/blob/hipster.txt;true;ADMIN
4;athwart louse wallaby;../fake-data/blob/hipster.txt;true;ADMIN
5;now pinion upwardly;../fake-data/blob/hipster.txt;false;SYSTEM
6;scared appropriate;../fake-data/blob/hipster.txt;true;SYSTEM
7;creaking partridge;../fake-data/blob/hipster.txt;true;SYSTEM
8;bah kissingly behind;../fake-data/blob/hipster.txt;true;SYSTEM
9;jubilantly bowed;../fake-data/blob/hipster.txt;false;SYSTEM
10;toward;../fake-data/blob/hipster.txt;true;ADMIN
